id,company,industry,website,naics_code,naics_description,all_naics,uei,recipient_id,last_award_date,last_checked,total_awards_found
1,Asymmetric Technologies,Tactical AI & Edge Systems,asymmetric.us,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 334511: SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING; 541990: ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES; 334210: TELEPHONE APPARATUS MANUFACTURING; 541712: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY); 541519: OTHER COMPUTER RELATED SERVICES",JG3FHKCGBKL5,170a5da1-02e3-da9d-c2c7-2d60cad8e06e-C,2024-06-14,2026-07-22,27
2,Charles River Analytics,Human-Centered AI & Robotics,cra.com,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 541713: RESEARCH AND DEVELOPMENT IN NANOTECHNOLOGY; 541714: RESEARCH AND DEVELOPMENT IN BIOTECHNOLOGY (EXCEPT NANOBIOTECHNOLOGY); 541330: ENGINEERING SERVICES; 513210: SOFTWARE PUBLISHERS; 334511: SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING; 541519: OTHER COMPUTER RELATED SERVICES; 334118: COMPUTER TERMINAL AND OTHER COMPUTER PERIPHERAL EQUIPMENT MANUFACTURING; 541511: CUSTOM COMPUTER PROGRAMMING SERVICES; 541712: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY); 811212: COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE",DD1BYN8SN355,18a1d77c-196c-ded4-b89d-ea78f0d2fb01-C,2025-12-29,2026-07-22,135
3,SimCentric,Tactical Simulation Software,simct.com,513210,SOFTWARE PUBLISHERS,513210: SOFTWARE PUBLISHERS; 511210: SOFTWARE PUBLISHERS,D23XGCUHX6M4,1118c5a0-611a-40e5-6b9f-8e0fb9326919-C,2025-06-10,2026-07-22,2
4,"Aptima, Inc.",Data Analytics & Human Systems,aptima.com,541712,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)","541712: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY); 541330: ENGINEERING SERVICES; 541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 541710: ",QLCTKFNX8DD7,83bf974f-068d-cdbf-7a63-6669260d3da6-C,2024-07-22,2026-07-22,16
5,Xona Space Systems,Alternative PNT/Satellite Tech,xonaspace.com,927110,SPACE RESEARCH AND TECHNOLOGY,"927110: SPACE RESEARCH AND TECHNOLOGY; 541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",F2SEVE8JC648,fe2534d0-561e-385f-69f9-e9ac1bba1ace-C,2024-08-19,2026-07-22,6
6,Persistent Systems,MANET Tactical Radios,persistentsystems.com,334220,RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING,"334220: RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING; 541330: ENGINEERING SERVICES; 541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 335910: BATTERY MANUFACTURING; 334118: COMPUTER TERMINAL AND OTHER COMPUTER PERIPHERAL EQUIPMENT MANUFACTURING; 334511: SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING; 334310: AUDIO AND VIDEO EQUIPMENT MANUFACTURING; 332993: AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING; 335931: CURRENT-CARRYING WIRING DEVICE MANUFACTURING; 611430: PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING; 334418: PRINTED CIRCUIT ASSEMBLY (ELECTRONIC ASSEMBLY) MANUFACTURING; 334419: OTHER ELECTRONIC COMPONENT MANUFACTURING; 334111: ELECTRONIC COMPUTER MANUFACTURING; 611519: OTHER TECHNICAL AND TRADE SCHOOLS; 335911: STORAGE BATTERY MANUFACTURING; 541511: CUSTOM COMPUTER PROGRAMMING SERVICES; 334210: TELEPHONE APPARATUS MANUFACTURING",NPJTWLK75ZY1,1f599213-5756-7a22-4e4e-33b2136e2e07-C,2026-10-16,2026-07-22,114
7,Tomahawk Robotics,Common Robotic Control Systems,tomahawkrobotics.com,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 335314: RELAY AND INDUSTRIAL CONTROL MANUFACTURING",CC54YYMKNLD7,0efbb089-9cef-4068-b042-5896fbe925ff-C,2025-09-18,2026-07-22,16
8,Intelligent Artifacts,Deterministic AI & ML Software,intelligentartifacts.com,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",W4JLGUYDMNW3,3cd3fb05-a2c5-9bfb-db0a-f1b5f16cce79-C,2021-09-24,2026-07-22,6
9,Ghost Robotics,Vision-Based Quadrupedal Unmanned Systems,ghostrobotics.io,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 811210: ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE; 334511: SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING; 334220: RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING; 335999: ALL OTHER MISCELLANEOUS ELECTRICAL EQUIPMENT AND COMPONENT MANUFACTURING; 334513: INSTRUMENTS AND RELATED PRODUCTS MANUFACTURING FOR MEASURING, DISPLAYING, AND CONTROLLING INDUSTRIAL PROCESS VARIABLES; 333999: ALL OTHER MISCELLANEOUS GENERAL PURPOSE MACHINERY MANUFACTURING; 334516: ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING; 541330: ENGINEERING SERVICES",CG7JDWUC5FN1,6efd1b91-1e7e-79ed-957a-1873ec145c3e-C,2025-09-10,2026-07-22,23
10,Shield AI,Tactical Autonomy Software,shield.ai,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 541370: SURVEYING AND MAPPING (EXCEPT GEOPHYSICAL) SERVICES; 332993: AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING; 541330: ENGINEERING SERVICES; 611710: EDUCATIONAL SUPPORT SERVICES; 336411: AIRCRAFT MANUFACTURING",DVEJNK717BB6,4c75a234-1efb-a412-cbcd-eab2e4fca1ed-C,2026-05-27,2026-07-22,33
